,16942,16949,16950
0,1.6,1.5,1.8
1,1.5,1.8,1.5
2,1.7,1.5,1.7
3,1.8,1.5,1.8
4,1.5,1.7,1.6
5,1.7,1.6,1.3
6,1.5,1.7,1.7
7,1.4,1.7,1.7
8,1.2,1.6,1.5
9,1.5,1.8,1.6
10,0.9,1.8,1.5
11,1.6,1.4,1.7
12,1.5,1.7,1.7
13,1.8,1.4,1.06
14,1.7,1.6,1.6
15,1.6,1.9,1.4
16,1.8,1.5,1.6
17,1.4,1.7,1.6
18,1.9,1.7,1.4
19,1.7,1.8,1.4
20,1.1,1.6,1.5
21,1.3,1.6,1.9
22,1.6,1.8,1.5
23,1.8,1.5,1.4
24,1.4,1.6,1.8
25,1.8,1.7,1.8
26,1.7,1.5,1.9
27,1.8,1.4,1.4
28,1.6,1.5,1.7
29,1.7,1.7,1.7
30,1.9,1.6,1.6
31,1.8,1.9,1.7
32,1.4,1.6,1.7
33,1.2,1.4,1.7
34,1.7,1.6,1.7
35,1.5,1.4,1.8
36,1.3,1.7,1.8
37,1.7,1.2,1.8
38,1.8,1.6,1.6
39,1.9,0.65,1.5
40,1.5,1.7,1.5
41,1.6,1.5,1.4
42,1.6,1.3,1.7
43,1.7,1.3,1.6
44,1.7,1.8,1.7
45,1.3,1.5,1.2
46,1.4,1.4,1.6
47,1.5,1.2,1.9
48,1.4,1.5,1.6
49,1.3,1.7,1.3
50,1.7,1.76,1.5
51,1.9,1.4,1.5
52,1.6,1.8,1.3
53,1.6,1.76,1.6
54,1.5,1.6,1.8
55,1.6,1.6,0.6
56,1.7,1.6,1.4
57,1.6,1.6,1.3
58,1.8,1.96,1.5
59,1.6,1.3,1.5
60,1.3,1.3,1.5
61,1.4,1.7,1.8
62,1.8,1.4,1.7
63,1.7,1.5,1.7
64,1.4,1.6,1.6
65,1.9,1.4,1.9
66,1.4,1.5,1.6
67,1.6,1.3,1.5
68,1.6,1.6,1.4
69,1.7,1.56,1.6
70,1.7,1.44,1.4
71,1.7,1.4,1.8
72,1.8,1.7,1.6
73,1.6,1.6,1.6
74,1.7,1.6,1.6
75,1.5,1.9,1.7
76,1.7,1.5,1.4
77,1.0,1.8,1.7
78,1.6,1.6,1.6
79,1.5,0.43,1.8
80,1.7,1.7,1.4
81,1.7,1.54,1.8
82,0.9,1.4,1.5
83,1.8,1.5,1.6
84,1.7,1.6,1.6
85,1.7,1.6,1.7
86,1.5,1.3,1.7
87,1.7,1.6,1.7
88,1.4,1.7,1.5
89,1.8,1.7,1.8
Total,142.4,140.2,142.96
